pack; 收拾，装
my;  我的
schoolbag; 书包
book; 书
pencil; 铅笔
pencils; 铅笔（复数）
ruler; 直尺
eraser; 橡皮
pencil case; 铅笔盒
don't; 不、不要
worry; 担心
use; 使用
my schoolbag; 我的书包
pack my pencil case; 整理我的铅笔盒
pack my eraser; 装起我的橡皮
pack the ruler; 装起这把尺
use my pencil; 用我的铅笔
take to school; 带去学校
pack my schoolbag; 整理我的书包
pack the pencils; 装起这些铅笔
Oh, no!;噢，不！
Don't worry; 不用担心。
Use my eraser;用我的橡皮。
What do I take to school?;我带什么去学校呢？
Thank you;谢谢。
Oh, no! My ruler!;噢，不！ 我的直尺！
Don't worry. Use my ruler.; 别担心，用我的尺子。
Thank you.;谢谢你。
after school;放学后
Here's your ruler. thank you.;给你尺子，谢谢你。
You are welcom.;不客气
