blackboard;黑板
desk;课桌
chair;椅子
floor;地板
door;门
clean your desk;清洁你的桌子
clean my desk;清洁我的桌子
clean your chair;清洁你的椅子
clean my chair;清洁我的椅子
clean;清洁
clean our classroom;清洁我们的教室
on duty;值日
chant;歌唱
look;看
listen;听
write;写
number;数字
along;依照
look, listen and chant along.;看，听和跟着唱
Well done!;做得好
Mini-Project;小项目
Look, circle and speak.;看，画圈和说
me;我（宾格）
Who's on duty today?;今天谁值日？
That's good.;那很好
Let me clean the blackboard.;让我们清洁黑板
Let me clean the floor.;让我们清洁地板
Let me put the books back.;让我们把书放回去
Oops!;噢
Let me help you.;让我帮你
thank you.;谢谢你！
look and match.;看和配对
look and listen.;看和听

clean your desk
clean my desk
clean your chair
clean my chair
clean, clean
clean our classroom
;
清洁你的桌子
清洁我的桌子
清洁你的椅子
清洁，清洁

清洁我们的教室
