wash;清洗
take a photo;照相
Do it by myself;自己来
I can packa my schoolbag.;我能整理我的书包
I can pack my pencil case.;我能整理我的铅笔盒
I can wash my spoon.;我能清洗我的勺子
I can wash my lunch box.;我能清晰我的饭盒
I can do it by myself.;我能自己完成它
I can clean my desk.;我能清理我的课桌
I can clean my chair.;我能清理我的椅子
tie shoelaces;系鞋带
shoelaces;鞋带
tie;系
photo;照片
myself;我自己
yourself;你自己
herself;她自己
himself;他自己
can you help me tie my shoelaces, please?;请问你能帮我系鞋带吗？
Yes, I can! Look!;好，我可以，看！
Thank you.;谢谢你。
Can you find my bag, please?;请问呢你能找到我的包吗？
Yes, I can!;好，我可以。
find the bag;找到包
Can you take a photo for us, please?;请问你能帮我们拍照吗？
Oops! Oh, I'm sorry.;哦，抱歉！
Say "Cheese";说，茄子
Can you wash your lunch box?;你能清洗你的饭盒吗？
I can wash my lunch box.;我能清晰我的饭盒
lunch;午餐
dinner;晚餐
supper;晚餐
breakfast;早饭
take a shower;洗个淋浴
shower;淋浴
wake up;起床
wake;起来
brush teeth;
tooth;牙齿（复数为teeth）
brush;刷
get dressed;穿衣服
dress;穿，衣服
go to bed;上床睡觉
bed;床
wash face;洗脸
face;脸
watch TV;看电视
television;电视
watch;看， (通常指站著或坐著) 注視
read;读
say;说
take a bath;洗个澡
bath; 洗澡,沐浴
cook dinner;煮晚饭
cook;煮
rush out;冲出去
rush;匆匆忙忙地行進,急往; 匆促行事
out;外面
drink;喝
eat;吃
I get ready for bed.;我准备睡觉了
