学校生活;school life
在博物馆学习艺术;learn art in the museum
去上学;go to school
不同科目;different subjects
与……不同;be different from
和……一样;be the same
语文，数学，英语;Chinese, Maths, English
地理，历史;Geography, History
科学，法语;Science, French
上一节信息技术课;have an ICT lesson(class)
休息一下;have a break(rest)
在她的课程表 中;in her timetable
该上课了;It's time for class=It's time to have a class
阅读海报;read the posters
在他们的学校布告栏上;on their school noticeboard
加入书法俱乐部;join the calligraphy club
科学-科学家;science-sicentist
在实验室;in the lab
在足球场上相遇;meet on the football field
对……开放;be open to
在周二;on Tuesday(on+exactly day/week)
让某人做;let sb. do
还有甚么呢;What else ...?
它持续多久了;How long does it last for?
多少（可数/不可数）;how many+ countable noun/how much +uncountable noun
