want to do=would like to do;想要做
May I...? Yes, of course.;我可以……吗？ 是的，当然。
do interesting experiments.;做有趣的实验
do a project.;做一个项目
How many students can join the club?;多少学生可以加入俱乐部
Thanks a lot. ---You are Wellcom.;非常感谢。不用谢。
Sorry. It dosen't matter.;不好意思。 没关系
choose a club from the noticeboard;从布告栏中选择一个俱乐部
ask sb. for more information.;问某人更多信息
start a topic;开始一个话题
start at 8 a.m.;早上8点开始；
end(=finish) at 4 p.m. ;下午4点结束
receive a reply from;收到……的回复
an online post;一个在线帖子
online shopping;线上购物
What is your school day like?= How is your school day?;你上学的日子是怎样的（学校里过得怎么样）
like ... most(verb.);最喜欢
give a like;点个赞
the difference(s) between A and B;A和B之间的差异
in this way;以这种方式
the way of learning;学习的方式
study History, ICT and art;学习历史、信息通信技术和艺术
at the same time;同时

